Tiempo (s),Angulo (grados),Posicion del Carro (m),Velocidad del Carro (m/s),Fuerza (N),Aceleracion del Carro (m/s^2),Aceleración del Péndulo (rad/s^2)
0.0,29.998849097812936,1.932085963772867e-05,0.01932085963772867,-48.30214909432168,-19.32085963772867,-13.39135502176578
0.001,29.996962312534812,5.758952542083731e-05,0.03826866578310864,-47.36938087183733,-18.94780614537997,-13.026173573150043
0.002,29.994359308050495,0.00011444754665272131,0.056858021231884,-46.47286525564108,-18.589355448775358,-12.67564673369184
0.003,29.991058999460005,0.0001895500211161115,0.07510247446339019,-45.6099870669521,-18.244453231506185,-12.338717271513259
0.004,29.98707967476245,0.0002825638137243135,0.09301379260820203,-44.77631196860055,-17.91131814481184,-12.013616918750506
0.005,29.98243898377854,0.00039316710729868815,0.11060329357437465,-43.97073459516447,-17.58950096617263,-11.69988514531811
0.006,29.977154061697746,0.0005210477990542725,0.1278806917555843,-43.18926257876543,-17.27739818120967,-11.395930904676769
0.007,29.97124149642573,0.0006659033649039626,0.14485556584969014,-42.43157206425526,-16.974874094105836,-11.10160377793092
0.008,29.964717439728982,0.0008274395063072059,0.16153614140324332,-41.694294495062074,-16.68057555355317,-10.815560398856345
0.009000000000000001,29.957597598487204,0.001005369813066713,0.1779303067595071,-40.976600369264546,-16.394165356263777,-10.537454761764527
0.01,29.949897274162275,0.0011994151921874434,0.1940453791207304,-40.27707449286421,-16.115072361223277,-10.26671228932233
0.011,29.94163140901263,0.0014093031383717643,0.20988794618432105,-39.59390501839548,-15.842567063590668,-10.002603726955275
0.012,29.932814600082526,0.0016347673334561306,0.22546419508436635,-38.92610181441214,-15.576248900045305,-9.744723217217501
0.013000000000000001,29.923461098294474,0.0018755475315635228,0.24078019810739204,-38.27338841000181,-15.316003023025678,-9.492946034472833
0.014,29.913584863249206,0.002131388878789514,0.2558413472259912,-37.6340740261832,-15.061149118599193,-9.246592976936142
0.015,29.903199568995984,0.0024020416252941417,0.2706527465046278,-37.007448426792244,-14.811399278636532,-9.005370503227567
0.016,29.892318619430185,0.002687260853721374,0.28521922842723235,-36.3928416883805,-14.56648192260459,-8.769001607455497
0.017,29.880955162641886,0.0029868062251881366,0.29954537146676274,-35.78962733870165,-14.326143039530397,-8.537227000632573
0.018000000000000002,29.869122101566806,0.003300441774636067,0.3136355494479303,-35.19730186975288,-14.09017798116756,-8.309836324059445
0.019,29.856832105105493,0.0036279357168078393,0.3274939421717722,-34.61538791006376,-13.858392723841865,-8.086630080422081
0.02,29.844097617692118,0.003969060273858876,0.34112455705103617,-34.04346177629345,-13.630614879264007,-7.867430432658738
0.021,29.830930867740765,0.004323591523212301,0.3545312493534249,-33.48115001190167,-13.406692302388711,-7.652079824764245
0.022,29.81734387503717,0.004691309264393106,0.36771774118080536,-32.92812624390851,-13.186491827380468,-7.440439731154148
0.023,29.803348457138405,0.005071996903683753,0.3806876392906476,-32.384108303376486,-12.969898109842228,-7.232389512805113
0.024,29.78895623505896,0.005465441352925318,0.3934444492415646,-31.848849048859186,-12.75680995091697,-7.02782279664614
0.025,29.774178639862292,0.00587143292210802,0.40599156918270213,-31.322085488651286,-12.547119941137543,-6.82662742842075
0.026000000000000002,29.75902691416261,0.006289765269826745,0.418332347718725,-30.803698988450826,-12.340778536022901,-6.6287485492642855
0.027,29.743512115670256,0.006720235348628569,0.4304700788018241,-30.29355783278412,-12.137731083099089,-6.43412662080511
0.028,29.727645123096263,0.007162643320588354,0.4424079719597848,-29.791455579852297,-11.937893157960755,-6.242673094020693
0.029,29.711436616585893,0.0076167927634234415,0.4541494428350869,-29.297911863604174,-11.741470875302097,-6.054586118754522
0.03,29.69489710043877,0.008082490473933245,0.465697710509803,-28.81243925255368,-11.548267674716119,-5.8696673844118665
0.031,29.678036903834656,0.008559546396789694,0.47705592285644893,-28.334863483867363,-11.358212346645919,-5.687842342407362
0.032,29.6608661806103,0.009047773606068165,0.48822720927846985,-27.86514190181509,-11.171286422020923,-5.509088739622316
0.033,29.6433948790305,0.009546988657798313,0.49921505173014896,-27.404159145325664,-10.98784245167911,-5.333750888351404
0.034,29.625632783450154,0.010057011218347189,0.510022560548876,-26.950989024165235,-10.80750881872697,-5.161458799219995
0.035,29.607589500908162,0.010577664100601583,0.5206528822543947,-26.505724757798326,-10.630321705518643,-4.992245129254529
0.036000000000000004,29.58927442828146,0.011108773664494717,0.5311095638931342,-26.069370174273935,-10.45668163873959,-4.826502944790728
0.037,29.57069679792401,0.011650169414401026,0.5413957499063087,-25.640920857490254,-10.286186013174405,-4.663832233624212
0.038,29.55186565028336,0.012201684188665955,0.5515147742649291,-25.22085268753553,-10.119024358620466,-4.504418279629576
0.039,29.532789830119892,0.012763154268175314,0.5614700795093587,-24.8094388412719,-9.955305244429612,-4.34836683477177
0.04,29.513478005678834,0.013334419187847838,0.5712649196725249,-24.406209542629597,-9.794840163166189,-4.1954900734413805
0.041,29.49393863270601,0.013915322097503237,0.5809029096553994,-24.012068343669924,-9.6379899828745,-4.046144082645953
0.042,29.474179996723375,0.014505709385604122,0.5903872881008839,-23.626075612006613,-9.48437844548458,-3.8999556603057584
0.043000000000000003,29.45421016352249,0.015105431135768345,0.5997217501642228,-23.249373639174635,-9.334462063338915,-3.757376439794367
0.044,29.434037026018338,0.015714340728595108,0.6089095928267635,-22.880967595442726,-9.18784266254072,-3.618011796855521
0.045,29.41366825963819,0.016332295232617148,0.6179545040220393,-22.521835493546384,-9.044911195275896,-3.482249264310785
0.046,29.393111356381734,0.01695915513449367,0.6268599018765211,-22.17130308545506,-8.905397854481702,-3.349821712162933
0.047,29.372373601797065,0.017594784518779827,0.6356293842861571,-21.829820044213044,-8.769482409636092,-3.22090799333079
0.048,29.35146208384651,0.018239051023197627,0.6442665044178006,-21.497274553387367,-8.63712013164352,-3.095464567072248
0.049,29.330383704536498,0.01889182568676433,0.652774663566705,-21.17328681933499,-8.508159148904356,-2.9733416003402144
0.05,29.309145141506466,0.01955298334824545,0.6611576614811199,-20.8588528042102,-8.382997914414885,-2.854936081814595
0.051000000000000004,29.287752890403052,0.020222402281577113,0.6694189333316639,-20.55306055127589,-8.26127185054406,-2.7398872948963677
0.052000000000000005,29.266213252287976,0.02089996422082549,0.6775619392483785,-20.255972016815676,-8.143005916714568,-2.6282215170905925
0.053,29.24453231696459,0.02158555456229664,0.6855903414711504,-19.96809190420539,-8.028402222771913,-2.520141511644376
0.054,29.222715988012187,0.022279062137707487,0.6935075754108465,-19.688852348877266,-7.917233939696175,-2.4154235789391922
0.055,29.200769983926662,0.022980379124010183,0.7013169863026951,-19.41802713870195,-7.809410891848586,-2.313979880259841
0.056,29.17869980966357,0.02368940134433198,0.7090222203217961,-19.15636780283546,-7.705234019100969,-2.216112247592825
0.057,29.156510793531304,0.024406027935684353,0.7166265913523749,-18.903042534074018,-7.604371030578818,-2.1214920201349137
0.058,29.134208081235904,0.02513016130632658,0.724133370642227,-18.657943758759185,-7.506779289852117,-2.0300789357247173
0.059000000000000004,29.111796625554184,0.0258617072404191,0.7315459340925171,-18.42133207135341,-7.412563450290108,-1.9419797326400638
0.06,29.089281195992296,0.02660057481846425,0.7388675780451502,-18.19300740001061,-7.32164395263308,-1.857117607525435
0.061,29.066666387328414,0.027346676289496996,0.7461014710327464,-17.972649021373453,-7.233892987596134,-1.7753675608322699
0.062,29.043956623242757,0.028099926984525923,0.7532506950289287,-17.760039344392695,-7.14922399618235,-1.696645688740715
0.063,29.021156156932115,0.028860245278833283,0.7603182943073581,-17.555082914087507,-7.067599278429327,-1.6209168727284293
0.064,28.99826905764308,0.0296275527343657,0.7673074555324186,-17.358134467264964,-6.989161225060515,-1.5483261001444724
0.065,28.975299245535215,0.03040177373961991,0.7742210052542084,-17.16829234294468,-6.913549721789776,-1.4785160480886763
0.066,28.952250475409762,0.031182835577295096,0.7810618376751853,-16.985724455769358,-6.840832420976919,-1.4115569346214651
0.067,28.9291263508631,0.031970668280499624,0.7878327032045301,-16.81007002246181,-6.770865529344833,-1.3473074822500424
0.068,28.905930326691493,0.03276520455522941,0.7945362747297845,-16.641133981108855,-6.703571525254307,-1.285692618213931
0.069,28.882665699371614,0.03356637986337499,0.801175308145581,-16.47912259905182,-6.6390334157965025,-1.2267980824323972
0.07,28.859335624839673,0.03437413224216039,0.8077523787854004,-16.32358313921778,-6.577070639819331,-1.1704455852929632
0.07100000000000001,28.83594312571405,0.03518840215855721,0.8142699163968219,-16.17415037621071,-6.517537611421507,-1.1164916578588364
0.07200000000000001,28.812491087330393,0.036009132505179564,0.820730346622353,-16.03081284320996,-6.460430225531096,-1.0649346104565895
0.073,28.788982264469876,0.03683626851927226,0.8271360140926973,-15.893366782287051,-6.405667470344303,-1.0156955935745082
0.074,28.765419294261996,0.037669757604660625,0.8334890853883621,-15.761365862918895,-6.353071295664737,-0.9685981930396587
0.075,28.74180468997696,0.03850954934288034,0.8397917382197106,-15.634836788187807,-6.302652831348593,-0.9236558327902605
0.076,28.71814084447549,0.03935559545540914,0.8460461125288028,-15.513683989067438,-6.254374309092201,-0.8808328472729398
0.077,28.694430033231143,0.04020784975459618,0.8522542991870431,-15.397783644624147,-6.20818665824026,-0.8400821815816678
0.078,28.670674430263432,0.04106626794158807,0.8584181869918861,-15.28662943805357,-6.163887804842957,-0.8012027607681111
0.079,28.64687610672531,0.04193080755405528,0.8645396124672161,-15.1800896591841,-6.121425475330019,-0.7641439949759706
0.08,28.623037032306065,0.042801427931253216,0.8706203771979357,-15.078075952131726,-6.080764730719666,-0.7288726973372461
0.081,28.59915908048394,0.043678090140418936,0.8766622091657191,-14.980403309075731,-6.041831967783366,-0.6953166890982133
0.082,28.57524403252663,0.04456075690482792,0.8826667644089874,-14.886890905233658,-6.00455524326826,-0.6634053622438313
0.083,28.551293582877737,0.045449392516484784,0.8886356116568629,-14.797319533993523,-5.968847247875506,-0.633052506596751
0.084,28.52730934582771,0.04634396272898407,0.894570212499289,-14.711420457688881,-5.934600842426087,-0.6041517659347453
0.085,28.50329285267166,0.04724443475352278,0.9004720245387108,-14.629182874524059,-5.901812039421737,-0.5767007579014368
0.08600000000000001,28.479245557124976,0.048150777194083894,0.9063424405611152,-14.55044390554908,-5.870416022404458,-0.5506356753009923
0.08700000000000001,28.45516883873148,0.04906295998556784,0.9121827914839451,-14.475048074321712,-5.840350922829822,-0.5258955932472388
0.088,28.431064002085996,0.04998095438113363,0.9179943955657937,-14.402962960315586,-5.811604081848572,-0.5024692491867004
0.089,28.40693228620867,0.050904732839134346,0.9237784580007137,-14.333905131259634,-5.784062434920029,-0.4802438137354896
0.09,28.38277486625613,0.05183426896489581,0.929536125761465,-14.267728326976881,-5.757667760751352,-0.45916176694904753
0.091,28.35859286092316,0.05276953740540027,0.9352684405044569,-14.204168580947837,-5.73231474299184,-0.43911781335465333
0.092,28.33438732879837,0.053710513855306244,0.9409764499059794,-14.143240327673269,-5.708009401522473,-0.4201192574901932
0.093,28.310159272864677,0.05465717500646566,0.9466611511594147,-14.084816737873432,-5.684701253435377,-0.40211616946551604
0.094,28.285909643194024,0.05560949849942467,0.952323492959014,-14.028775969614006,-5.662341799599277,-0.38506055109080733
0.095,28.26163933953395,0.05656746287687637,0.9579643774517026,-13.97500108752698,-5.640884492688633,-0.3689063070840164
0.096,28.23734921378798,0.057531047539028345,0.9635846621519789,-13.923379969671949,-5.620284700276349,-0.3536092112518066
0.097,28.213040072392296,0.058500232700844076,0.9691851618157306,-13.873805203948605,-5.60049966375168,-0.339126868395839
0.098,28.188712678590974,0.05947499935111357,0.9747666502694909,-13.826173975808858,-5.581488453760438,-0.32541867263381996
0.099,28.164367754612613,0.06045532921330586,0.980329862192293,-13.78038794886012,-5.563211922802024,-0.31244576276407476
0.1,28.140005983751003,0.061441204708153715,0.9858754948478516,-13.736353139802418,-5.545632655558582,-0.30017097524492725
0.101,28.115628013634986,0.06243260890325314,0.9914041950994265,-13.693943124249571,-5.528700251574807,-0.2885438755271979
0.10200000000000001,28.09123445820845,0.06342952547314853,0.9969165698953916,-13.653057721595797,-5.512374795965135,-0.2775246141440028
0.10300000000000001,28.066825897301896,0.0644319386904692,1.0024132173206697,-13.613674403412702,-5.496647425278037,-0.2671048928749618
0.10400000000000001,28.042402879067566,0.06543983339469138,1.0078947042221726,-13.575714709596607,-5.481486901502938,-0.2572536114249722
0.105,28.017965921636264,0.06645319496237918,1.0133615676878023,-13.539103896058657,-5.4668634656296335,-0.24794112527405773
0.106,27.99351551469527,0.06747200927885005,1.0188143164708632,-13.503770797449477,-5.4527487830608745,-0.23913919303942935
0.107,27.969052120990362,0.06849626271121029,1.024253432360235,-13.469647690772604,-5.43911588937194,-0.23082092406931914
