Tiempo (s),Ángulo (grados),Posición del Carro (m),Velocidad del Carro (m/s),Fuerza (N)
0.0,23.306138000470494,-9.508910889165737e-05,-0.009508910889165736,4.552030095546872e-16
0.01,21.627507381694652,-0.0002774793621624338,-0.018239025327077642,4.552030095546872e-16
0.02,19.963114831561832,-0.0005397024707927171,-0.026222310863028328,4.552030095546872e-16
0.03,18.31238845769122,-0.0008685113693525821,-0.03288088985598651,0.2431595838402744
0.04,16.68809050183662,-0.0010677799623222462,-0.019926859296966415,7.811812849964267
0.05,15.09479902709433,-0.000995779594394811,0.00720003679274352,13.190415951978823
0.06,13.545760756415996,-0.0004151781560520673,0.058060143834274366,22.393508442697595
0.07,12.036340408161244,0.0007045171773441758,0.1119695333396243,23.318995006710907
0.08,10.565151736919608,0.0023690553082252397,0.16645381308810636,23.278969933155597
0.09,9.131337006272814,0.004583094141309606,0.22140388330843655,23.220835371304883
0.1,7.733987945574732,0.007350375718710887,0.27672815774012816,23.149904295233615
0.11,6.372153818047862,0.010673860940656706,0.3323485221945819,23.06986032294773
0.12,5.044848164925128,0.014555832767129046,0.3881971826472341,22.983143742548933
0.13,3.7510560137886113,0.018997994767542315,0.44421620004132695,22.892048943996997
0.14,2.4897385656644264,0.024001536782126416,0.50035420145841,22.79761126418362
0.15,1.2605447600901618,0.029576113673082594,0.5574576890956178,23.05745911195332
0.16,0.06274350155119723,0.03572930850779433,0.6153194834711737,23.248655372800595
0.17,-1.1045717094912515,0.04246570613642256,0.6736397628628229,23.33302536029171
0.18,-2.236088718146342,0.049867187890636024,0.7401481754213466,26.52121707352036
0.19,-3.328483249722793,0.058016229047707514,0.8149041157071492,29.74557523576936
0.2,-4.376850049944387,0.06701539336321766,0.8999164315510138,33.78657106980873
0.21,-5.372295233480062,0.07702439149517763,1.000899813195998,40.12754928193775
0.22,-6.307861061993906,0.0881975287560923,1.1173137260914663,46.26880450065387
0.23,-7.188122665873247,0.10054056248709468,1.2343033731002384,46.48501112652653
0.24,-8.013757563463663,0.11405858446298031,1.3518021975885632,46.685218291002286
0.25,-8.78558127956336,0.1287541453358824,1.469556087290208,46.792476733926655
0.26,-9.504035595421767,0.1446331418910389,1.5878996555156515,47.040460433907995
0.27,-10.169791367336673,0.16169903619148943,1.7065894300450524,47.19653840596416
0.28,-10.783440104513616,0.17995484895674613,1.8255812765256705,47.33898583560024
0.29,-11.345540618960133,0.19940320510063997,1.9448356143893826,47.46839821307595
0.3,-11.85661558558267,0.22004637417435646,2.0643169073716505,47.585313794894844
0.31,-12.317148741337684,0.24188630387637627,2.183992970201982,47.690128050125786
0.32,-12.727582012659104,0.2649246548854222,2.303835100904593,47.78341218572953
0.33,-13.08882653143484,0.28915612335287244,2.423146846745022,47.597355769422876
0.34,-13.401718286056798,0.3145732994293879,2.5417176076515435,47.32550526573728
0.35000000000000003,-13.666984737489171,0.3411687359552812,2.6595436525893272,47.05010549875772
0.36,-13.885296166840439,0.36893497395439934,2.7766237999118175,46.77183360580575
0.37,-14.067641005011566,0.39772804823080066,2.8793074276401303,41.030652654815455
0.38,-14.217923743482359,0.427450950737523,2.9722902506722324,37.16285173394766
0.39,-14.338931800149915,0.45803654355089324,3.0585592813370233,34.486597672752886
0.4,-14.433052097350606,0.489432484373738,3.139594082284477,32.39985648016243
0.41000000000000003,-14.502412682095022,0.521594380388551,3.216189601481302,30.629309182215497
0.42,-14.54897654480862,0.554482309637248,3.2887929248697003,29.036159156406146
0.43,-14.574606161458831,0.5880588468857225,3.357653724847451,27.541702568712427
0.44,-14.581118684306546,0.6222877114391073,3.422886455338479,26.092066415175633
0.45,-14.570325312673866,0.657132829635036,3.4845118195928695,24.649936021320833
0.46,-14.544075811499832,0.692557466846543,3.5424637211506855,23.180758450574803
0.47000000000000003,-14.50401391667959,0.7285272027528001,3.5969735906257156,21.803698259353286
0.48,-14.45134914653446,0.7650139622394119,3.6486759486611753,20.680126035143353
0.49,-14.387111144197466,0.8019940128018695,3.6980050562457696,19.730033110483475
0.5,-14.312192725347556,0.8394467418539939,3.7452729052124365,18.904578896935877
0.51,-14.227377720754044,0.8773538929814333,3.790715112743934,18.173263045960024
0.52,-14.133362463518436,0.9156990376357341,3.83451446543008,17.514990927583302
0.53,-14.03076998686802,0.9544672203648298,3.876818272909569,16.91560096394288
0.54,-13.920161817123995,0.9936446926561381,3.9177472291308346,16.364469751314996
0.55,-13.802044767553111,1.0332187414009406,3.9574048744802472,15.854753935072996
0.56,-13.67687926135332,1.0731775280520799,3.9958786651139255,15.380033902767268
0.5700000000000001,-13.545086555892127,1.1135099453093822,4.033241725730239,14.934588176643535
0.58,-13.40705244471896,1.1542055255235453,4.069558021416305,14.51476179259211
0.59,-13.263132715280776,1.1952543428504399,4.104881732689452,14.11664781055606
0.6,-13.11365451209836,1.2366469667430504,4.139262389261055,13.738391388399103
0.61,-12.958920416312997,1.2783743965526986,4.1727429809648084,13.377380574873943
0.62,-12.79921054451887,1.320428015555121,4.2053619002422336,13.031779443644501
0.63,-12.634784359071093,1.3627995549587555,4.237153940363453,12.700150471301022
0.64,-12.465882204712187,1.4054810645747187,4.268150961596312,12.381321835009372
0.65,-12.29272666021752,1.4484648878984885,4.298382332376978,12.074297525165095
0.66,-12.11552485410933,1.4917436258899657,4.327873799147715,11.777628918035527
0.67,-11.934468488104352,1.5353101267315095,4.356650084154375,11.490906219306567
0.68,-11.74973535539461,1.5791574645560884,4.384733782457896,11.213277970956641
0.6900000000000001,-11.561490376009441,1.6232789206566907,4.412145610060234,10.94399171459158
0.7000000000000001,-11.3698867230437,1.6676679642106373,4.438904355394663,10.682275391286836
0.71,-11.175066464936114,1.7123182390128528,4.465027480221546,10.427597179455404
0.72,-10.977160864643864,1.7572235565336614,4.490531752080855,10.179678107368074
0.73,-10.776291806308333,1.8023778763491984,4.515431981553707,9.937733954047266
0.74,-10.572572532477187,1.847775291233474,4.539741488427545,9.701167000922675
0.75,-10.366107324757444,1.8934100273773826,4.563473614390866,9.4699846254288
0.76,-10.156992922378771,1.9392764270692724,4.586639969188969,9.243492542000252
0.77,-9.945318866836052,1.9853689393626028,4.609251229333043,9.02131605338034
0.78,-9.73116863682039,2.0316821031424523,4.631316377984954,8.802776449864282
0.79,-9.514619634583013,2.078210542426981,4.652843928452844,8.587684556762559
0.8,-9.29574265371238,2.124948972331736,4.673842990475474,8.376277724247661
0.81,-9.074604203593525,2.171892171763599,4.69431994318634,8.167462397069965
0.8200000000000001,-8.851265973042404,2.2190349818284316,4.714281006483252,7.9611738561118095
0.8300000000000001,-8.625785076805908,2.26637230266922,4.733732084078854,7.757284609119657
0.84,-8.398214484862779,2.313899087392576,4.7526784723356,7.555550731045799
0.85,-8.168604449187212,2.361610322221966,4.771123482939038,7.355177436924921
0.86,-7.937000288657367,2.409501048690717,4.789072646875091,7.157051745821859
0.87,-7.703446372246423,2.4575663204331875,4.806527174247055,6.959444387338817
0.88,-7.46798282823816,2.505801231278054,4.823491084486671,6.763478624932187
0.89,-7.230648033482969,2.554200893112162,4.839966183410777,6.568268274261512
0.9,-6.991478130129859,2.6027604350139617,4.855954190180008,6.373778167614702
0.91,-6.750506623147758,2.6514750083894216,4.87145733754598,6.180213254494019
0.92,-6.507766191424752,2.7003397658688977,4.8864757479476095,5.986728891308186
0.93,-6.263285299164959,2.7493498976924013,4.901013182350362,5.79478017249679
0.9400000000000001,-6.016979438077694,2.7985020268911693,4.915212919876799,5.660173746294213
0.9500000000000001,-5.768634490635261,2.847794880843573,4.92928539524039,5.609760170274846
0.96,-5.518122223143457,2.897226772084581,4.9431891241007895,5.542756812607322
0.97,-5.265331885641991,2.946795628430802,4.956885634622086,5.460375131863452
0.98,-5.0101733928750365,2.9964989619688422,4.970333353804045,5.361380540705174
0.99,-4.752576268493421,3.0463338717052304,4.98349097363882,5.2458847955447165
1.0,-4.497754979903426,3.0962303393563415,4.989646765111129,2.4457248479691067
1.01,-4.247805030451017,3.146135612940852,4.990527358451062,0.3366618116971987
1.02,-4.00395175758677,3.1960137985444304,4.987818560357858,-1.0978191683735332
1.03,-3.7668968106025846,3.245841332792313,4.982753424788249,-2.0389767987279774
1.04,-3.536958519676372,3.295603694945041,4.976236215272795,-2.6184301091977242
1.05,-3.3142487042811815,3.3452920718978123,4.968837695277148,-2.9696416996934962
1.06,-3.098768089986897,3.3949010385568776,4.9608966659065175,-3.185427208660921
1.07,-2.8918367557208207,3.4444097134378957,4.950867488101811,-4.0195740709773435
